"date","permit_number","permit_type","status","address","short_notes",
"08/18/2023","PLM23-0668","Plumbing Permit","Issued","6815 WEBSTER AVE, KANSAS CITY KS 66109",,
"08/18/2023","ELE23-0807","Electrical Permit","Issued","6815 WEBSTER AVE, KANSAS CITY KS 66109",,
"08/18/2023","PLM23-0667","Plumbing Permit","Inspections Completed","2904 WAVERLY AVE, KANSAS CITY KS 66104",,
"08/18/2023","ELE23-0806","Electrical Permit","Issued","8907 STATE AVE, KANSAS CITY KS 66112",,
"08/18/2023","PLM23-0666","Plumbing Permit","Issued","2115 SPRINGFIELD BLVD, KANSAS CITY KS 66101",,
"08/18/2023","NSF23-0075","New Single Family","Issued","12841 HUBBARD RD, KANSAS CITY KS 66109",,
"08/18/2023","PLM23-0665","Plumbing Permit","Inspections Completed","1714 VILLAGE WEST PKWY, KANSAS CITY KS 66111",,
"08/18/2023","GAS23-0057","Gas Permit","Inspections Completed","261 S FERREE ST, KANSAS CITY KS 66101",,
"08/18/2023","BSR23-0149","Stop Work Order","Closed","1720 QUINDARO BLVD, KANSAS CITY KS 66104",,
"08/18/2023","ELE23-0805","Electrical Permit","Expired","1052 CLEVELAND AVE, KANSAS CITY KS 66104",,
"08/18/2023","BSR23-0148","Stop Work Order","Closed","1601 WASHINGTON BLVD, KANSAS CITY KS 66102",,
"08/17/2023","DRC23-0063","DRC","Issued","300 S 3RD ST, KANSAS CITY KS 66118",,
"08/17/2023","PLM23-0664","Plumbing Permit","Expired","3401 TAUROMEE AVE, KANSAS CITY KS 66102",,
"08/17/2023","ELE23-0804","Electrical Permit","Expired","2710 S 72ND DR, 114, KANSAS CITY KS 66106",,
"08/17/2023","MEC23-0384","Mechanical Permit","Expired","1333 MEADOWLARK LN, KANSAS CITY KS 66102",,
"08/17/2023","ELE23-0803","Electrical Permit","Expired","61 S 11TH ST, KANSAS CITY KS 66102",,
"08/17/2023","PLM23-0663","Plumbing Permit","Expired","2710 S 72ND DR, 114, KANSAS CITY KS 66106",,
"08/17/2023","ELE23-0802","Electrical Permit","Expired","2705 S 72ND DR, 105, KANSAS CITY KS 66106",,
"08/17/2023","PLM23-0662","Plumbing Permit","Expired","1926 W 36TH AVE, KANSAS CITY KS 66103",,
"08/17/2023","PLM23-0661","Plumbing Permit","Expired","2715 YATES ST, KANSAS CITY KS 66106",,
"08/17/2023","ELE23-0801","Electrical Permit","Expired","2401 LINDEN DR, KANSAS CITY KS 66106",,
"08/17/2023","OCC23-0092","Business Occupancy","Expired","5002 STATE AVE, KANSAS CITY KS 66102",,
"08/16/2023","OCC23-0091","Business Occupancy","Expired","748 WASHINGTON BLVD, KANSAS CITY KS 66101",,
"08/16/2023","ELE23-0800","Electrical Permit","Expired","1333 MEADOWLARK LN, KANSAS CITY KS 66102",,
"08/16/2023","ELE23-0799","Electrical Permit","Issued","1416 N 64TH DR, KANSAS CITY KS 66102",,
"08/16/2023","ELE23-0798","Electrical Permit","Inspections Completed","2717 N ALLIS ST, KANSAS CITY KS 66101",,
"08/16/2023","PLM23-0660","Plumbing Permit","Inspections Completed","2717 N ALLIS ST, KANSAS CITY KS 66101",,
"08/16/2023","RES23-0440","Residential","Inspections Completed","1855 N 19TH ST, KANSAS CITY KS 66104",,
"08/16/2023","ELE23-0797","Electrical Permit","Expired","2908 N 10TH ST, KANSAS CITY KS 66104",,
"08/16/2023","ELE23-0796","Electrical Permit","Expired","2324 N 51ST ST, KANSAS CITY KS 66104",,
"08/16/2023","SOL23-0077","Residential Solar Permit","Closed","2908 N 10TH ST, KANSAS CITY KS 66104",,
"08/16/2023","RES23-0439","Residential","Expired","217 N 21ST ST, KANSAS CITY KS 66102",,
"08/16/2023","RES23-0438","Residential","Expired","1329 N 64TH DR, KANSAS CITY KS 66102",,
"08/16/2023","OCC23-0090","Business Occupancy","Approved","356 N 10TH ST, KANSAS CITY KS 66102",,
"08/16/2023","RES23-0437","Residential","Expired","4509 GARFIELD AVE, KANSAS CITY KS 66102",,
"08/16/2023","RES23-0436","Residential","Expired","329 N 18TH ST, KANSAS CITY KS 66102",,
"08/16/2023","POOL23-0016","Pool-Spa","Expired","5000 N 131ST DR, KANSAS CITY KS 66109",,
"08/16/2023","POOL23-0015","Pool-Spa","Expired","4135 INDEPENDENCE BLVD, KANSAS CITY KS 66109",,
"08/16/2023","PLM23-0659","Plumbing Permit","Expired","229 N 80TH TER, KANSAS CITY KS 66112",,
"08/16/2023","GRD23-0058","Grading-Excavation","Elec Approved","2942 N 114TH TER, KANSAS CITY KS 66109",,
"08/16/2023","NSF23-0074","New Single Family","Inspections Completed","2942 N 114TH TER, KANSAS CITY KS 66109",,
"08/16/2023","GRD23-0057","Grading-Excavation","Elec Approved","4135 BOOTH ST, KANSAS CITY KS 66103",,
"08/16/2023","ELE23-0795","Electrical Permit","Expired","1008 FORD AVE, B, KANSAS CITY KS 66102",,
"08/16/2023","ELE23-0794","Electrical Permit","Expired","1008 FORD AVE, A, KANSAS CITY KS 66102",,
"08/16/2023","ELE23-0793","Electrical Permit","Expired","1006 FORD AVE, B, KANSAS CITY KS 66102",,
"08/16/2023","ELE23-0792","Electrical Permit","Expired","1006 FORD AVE, A, KANSAS CITY KS 66102",,
"08/16/2023","BSR23-0147","Stop Work Order","Closed","4311 FRANCIS ST, KANSAS CITY KS 66103",,
"08/16/2023","BSR23-0146","Stop Work Order","Closed","1138 ARGENTINE BLVD, KANSAS CITY KS 66105",,
"08/16/2023","SRE23-0182","Safe to Restore Electric","Expired","4216 METROPOLITAN AVE, KANSAS CITY KS 66106",,
"08/15/2023","NSF23-0073","New Single Family","Inspections Completed","2712 SPRING AVE, KANSAS CITY KS 66104",,
"08/15/2023","OCC23-0089","Business Occupancy","Not Approved","827 S 7TH ST TRFY, 827, KANSAS CITY KS 66105",,
"08/15/2023","COM23-0095","Commercial","Closed","8200 PARALLEL PKWY, KANSAS CITY KS 66112",,
"08/15/2023","ELE23-0791","Electrical Permit","Expired","1506 WALKER AVE, KANSAS CITY KS 66104",,
"08/15/2023","OCC23-0088","Business Occupancy","Expired","151 S 18TH ST, SUITE K, KANSAS CITY KS 66102",,
"08/15/2023","DRC23-0062","DRC","Health Hold","2440 S MILL ST, KANSAS CITY KS 66103",,
"08/15/2023","GAS23-0056","Gas Permit","Expired","834 N 89TH ST, KANSAS CITY KS 66112",,
"08/15/2023","RES23-0435","Residential","Issued","4702 HAGEMANN ST, KANSAS CITY KS 66106",,
"08/14/2023","OCC23-0087","Business Occupancy","Expired","10920 STADIUM PKWY, KANSAS CITY KS 66111",,
"08/14/2023","PLM23-0658","Plumbing Permit","Expired","706 N WASHINGTON BLVD, KANSAS CITY KS 66102",,
"08/14/2023","ROOF23-0032","Re-Roof","Expired","1728 N 25TH ST, KANSAS CITY KS 66102",,
"08/14/2023","ELE23-0790","Electrical Permit","Void","40 S PYLE ST, KANSAS CITY KS 66101",,
"08/14/2023","PLM23-0657","Plumbing Permit","Expired","2942 N 75TH TER, KANSAS CITY KS 66109",,
"08/14/2023","PLM23-0656","Plumbing Permit","Issued","2505 GREELEY AVE, KANSAS CITY KS 66104",,
"08/14/2023","PLM23-0655","Plumbing Permit","Expired","4022 DELAVAN AVE, KANSAS CITY KS 66104",,
"08/14/2023","PLM23-0654","Plumbing Permit","Inspections Completed","4323 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/14/2023","ELE23-0789","Electrical Permit","Inspections Completed","4323 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/14/2023","MEC23-0383","Mechanical Permit","Inspections Completed","905 N 69TH ST, KANSAS CITY KS 66102",,
"08/14/2023","PLM23-0653","Plumbing Permit","Inspections Completed","3419 N 40TH ST, KANSAS CITY KS 66104",,
"08/14/2023","GAS23-0055","Gas Permit","Expired","3419 N 40TH ST, KANSAS CITY KS 66104",,
"08/14/2023","ELE23-0788","Electrical Permit","Expired","6544 TAUROMEE AVE, KANSAS CITY KS 66102",,
"08/14/2023","MEC23-0382","Mechanical Permit","Expired","5630 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/14/2023","PLM23-0652","Plumbing Permit","Expired","5630 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/14/2023","ELE23-0787","Electrical Permit","Expired","5630 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/14/2023","ELE23-0786","Electrical Permit","Expired","20 KANSAS AVE, KANSAS CITY KS 66105",,
"08/14/2023","ROOF23-0031","Re-Roof","Expired","2558 JUNCTION RD, KANSAS CITY KS 66106",,
"08/14/2023","RES23-0434","Residential","Expired","601 CENTER ST, KANSAS CITY KS 66103",,
"08/11/2023","SPK23-0023","Fire Suppression","Expired","200 S JAMES ST, KANSAS CITY KS 66118",,
"08/11/2023","MEC23-0381","Mechanical Permit","Issued","7929 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"08/11/2023","ELE23-0785","Electrical Permit","Issued","7929 LEAVENWORTH RD, KANSAS CITY KS 66109",,
"08/11/2023","OCC23-0086","Business Occupancy","Expired","1264 CENTRAL AVE, KANSAS CITY KS 66102",,
"08/11/2023","COM23-0094","Commercial","Inspections Completed","7850 FREEMAN AVE, KANSAS CITY KS 66112",,
"08/11/2023","GAS23-0054","Gas Permit","Expired","5414 HASKELL AVE, KANSAS CITY KS 66104",,
"08/11/2023","MEC23-0380","Mechanical Permit","Expired","2322 N 73RD ST, KANSAS CITY KS 66109",,
"08/11/2023","MEC23-0379","Mechanical Permit","Inspections Completed","47 KANSAS AVE, KANSAS CITY KS 66105",,
"08/11/2023","ELE23-0784","Electrical Permit","Expired","47 KANSAS AVE, KANSAS CITY KS 66105",,
"08/11/2023","MEC23-0378","Mechanical Permit","Expired","7217 GILMORE AVE, KANSAS CITY KS 66111",,
"08/11/2023","COM23-0093","Commercial","Expired","1923 N 110TH ST, KANSAS CITY KS 66111",,
"08/11/2023","PLM23-0651","Plumbing Permit","Expired","1612 N 128TH ST, KANSAS CITY KS 66109",,
"08/11/2023","MEC23-0377","Mechanical Permit","Expired","1216 N 132ND ST, KANSAS CITY KS 66109",,
"08/11/2023","ELE23-0783","Electrical Permit","Issued","849 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","PLM23-0650","Plumbing Permit","Issued","849 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","PLM23-0649","Plumbing Permit","Expired","1932 N 17TH ST, KANSAS CITY KS 66104",,
"08/11/2023","MEC23-0376","Mechanical Permit","Issued","849 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","MEC23-0375","Mechanical Permit","Expired","851 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","PLM23-0648","Plumbing Permit","Expired","851 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","ELE23-0782","Electrical Permit","Expired","851 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/11/2023","ELE23-0781","Electrical Permit","Expired","2411 DELAVAN AVE, KANSAS CITY KS 66104",,
"08/11/2023","MEC23-0374","Mechanical Permit","Inspections Completed","5843 N 131ST ST, KANSAS CITY KS 66109",,
"08/11/2023","BSR23-0145","Stop Work Order","Pending","215 N 27TH ST, KANSAS CITY KS 66102",,
"08/11/2023","MEC23-0373","Mechanical Permit","Issued","1728 N 30TH ST, KANSAS CITY KS 66102",,
"08/11/2023","PLM23-0647","Plumbing Permit","Inspections Completed","2939 N 42ND ST, KANSAS CITY KS 66104",,
"08/11/2023","BSR23-0144","Stop Work Order","Pending","1431 N 28TH ST, KANSAS CITY KS 66102",,
"08/10/2023","MEC23-0372","Mechanical Permit","Expired","855 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/10/2023","ELE23-0780","Electrical Permit","Expired","855 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/10/2023","ELE23-0779","Electrical Permit","Expired","4510 CAMBRIDGE ST, KANSAS CITY KS 66103",,
"08/10/2023","PLM23-0646","Plumbing Permit","Expired","855 SANDUSKY AVE, APT 1,2,3,4, KANSAS CITY KS 66101",,
"08/10/2023","ELE23-0778","Electrical Permit","Expired","1238 KANSAS AVE, KANSAS CITY KS 66105",,
"08/10/2023","OCC23-0085","Business Occupancy","Expired","11 N JAMES ST, KANSAS CITY KS 66118",,
"08/10/2023","PLM23-0645","Plumbing Permit","Issued","1321 FREEMAN AVE, KANSAS CITY KS 66102",,
"08/10/2023","ELE23-0777","Electrical Permit","Expired","2935 N 75TH TER, KANSAS CITY KS 66109",,
"08/10/2023","ELE23-0776","Electrical Permit","Expired","2115 SPRINGFIELD BLVD, KANSAS CITY KS 66101",,
"08/10/2023","PLM23-0644","Plumbing Permit","Expired","7054 HASKELL AVE, KANSAS CITY KS 66109",,
"08/10/2023","PLM23-0643","Plumbing Permit","Inspections Completed","1131 CENTRAL AVE, KANSAS CITY KS 66102",,
"08/10/2023","MEC23-0371","Mechanical Permit","Expired","2601 N 55TH ST, KANSAS CITY KS 66104",,
"08/10/2023","MEC23-0370","Mechanical Permit","Inspections Completed","2828 N 56TH ST, KANSAS CITY KS 66104",,
"08/10/2023","ELE23-0775","Electrical Permit","Expired","8200 PARALLEL PKWY, KANSAS CITY KS 66112",,
"08/10/2023","GRD23-0056","Grading-Excavation","Issued","34 N JAMES ST, KANSAS CITY KS 66118","LDP FOR DRC23-0018 (NOVA GREEN RECYCLING)",
"08/10/2023","MEC23-0369","Mechanical Permit","Expired","5201 FOREST AVE, KANSAS CITY KS 66106",,
"08/10/2023","GRD23-0055","Grading-Excavation","Elec Approved","4437 N 115TH ST, KANSAS CITY KS 66109",,
"08/10/2023","MEC23-0368","Mechanical Permit","Expired","529 N 58TH ST, KANSAS CITY KS 66102",,
"08/10/2023","PLM23-0642","Plumbing Permit","Expired","1901 TAUROMEE AVE, KANSAS CITY KS 66102",,
"08/10/2023","NSF23-0072","New Single Family","Revise and Resubmit","4437 N 115TH ST, KANSAS CITY KS 66109",,
"08/10/2023","ELE23-0774","Electrical Permit","Inspections Completed","1875 VILLAGE WEST PKWY, KANSAS CITY KS 66111",,
"08/10/2023","MEC23-0367","Mechanical Permit","Expired","2028 BUNKER AVE, KANSAS CITY KS 66102",,
"08/10/2023","ELE23-0773","Electrical Permit","Expired","11311 WEBSTER AVE, KANSAS CITY KS 66109",,
"08/10/2023","RES23-0433","Residential","Expired","844 CLEVELAND AVE, KANSAS CITY KS 66101",,
"08/10/2023","MEC23-0366","Mechanical Permit","Expired","12429 PARKVIEW AVE, KANSAS CITY KS 66109",,
"08/10/2023","MEC23-0365","Mechanical Permit","Expired","2325 N 72ND PL, KANSAS CITY KS 66109",,
"08/10/2023","PLM23-0641","Plumbing Permit","Inspections Completed","1028 ROWLAND AVE, KANSAS CITY KS 66104",,
"08/10/2023","ELE23-0772","Electrical Permit","Inspections Completed","1028 ROWLAND AVE, KANSAS CITY KS 66104",,
"08/10/2023","PLM23-0640","Plumbing Permit","Expired","4416 FRANCIS ST, KANSAS CITY KS 66103",,
"08/10/2023","MEC23-0364","Mechanical Permit","Expired","3115 S 54TH ST, KANSAS CITY KS 66106",,
"08/10/2023","MEC23-0363","Mechanical Permit","Expired","1119 S 75TH TER, KANSAS CITY KS 66111",,
"08/10/2023","MEC23-0362","Mechanical Permit","Expired","2050 S 53RD ST, KANSAS CITY KS 66106",,
"08/10/2023","RES23-0432","Residential","Expired","1114 PACIFIC AVE, KANSAS CITY KS 66102",,
"08/10/2023","BSR23-0143","Stop Work Order","Pending","306 S 10TH ST, KANSAS CITY KS 66102",,
"08/10/2023","MEC23-0361","Mechanical Permit","Expired","4345 N 122ND ST, KANSAS CITY KS 66109",,
"08/10/2023","BSR23-0142","Stop Work Order","Closed","725 STEWART AVE, KANSAS CITY KS 66101",,
"08/10/2023","SRE23-0181","Safe to Restore Electric","Expired","846 RIVERVIEW AVE, KANSAS CITY KS 66101",,
"08/10/2023","SRE23-0180","Safe to Restore Electric","Approved","1010 ELLA AVE, KANSAS CITY KS 66102",,
"08/09/2023","PLM23-0639","Plumbing Permit","Inspections Completed","1022 LOWELL AVE, KANSAS CITY KS 66102",,
"08/09/2023","ELE23-0771","Electrical Permit","Inspections Completed","5843 N 131ST ST, KANSAS CITY KS 66109",,
"08/09/2023","OCC23-0084","Business Occupancy","Expired","7925 STATE AVE, KANSAS CITY KS 66112",,
"08/09/2023","ELE23-0770","Electrical Permit","Expired","7935 WEBSTER AVE, KANSAS CITY KS 66109",,
"08/09/2023","PLM23-0638","Plumbing Permit","Expired","13001 MEADOW LN, KANSAS CITY KS 66109",,
"08/09/2023","MEC23-0360","Mechanical Permit","Issued","323 N 10TH ST, KANSAS CITY KS 66102",,
"08/09/2023","MEC23-0359","Mechanical Permit","Issued","323 N 10TH ST, UNIT A, KANSAS CITY KS 66102",,
"08/09/2023","PLM23-0637","Plumbing Permit","Issued","323 N 10TH ST, UNIT B, KANSAS CITY KS 66102",,
"08/09/2023","PLM23-0636","Plumbing Permit","Issued","323 N 10TH ST, UNIT A, KANSAS CITY KS 66102",,
"08/09/2023","ELE23-0769","Electrical Permit","Issued","323 N 10TH ST, UNIT B, KANSAS CITY KS 66102",,
"08/09/2023","ELE23-0768","Electrical Permit","Issued","323 N 10TH ST, UNIT A, KANSAS CITY KS 66102",,
"08/09/2023","PLM23-0635","Plumbing Permit","Expired","8012 NEW JERSEY AVE, KANSAS CITY KS 66112",,
"08/09/2023","PLM23-0634","Plumbing Permit","Expired","617 TENNY AVE, KANSAS CITY KS 66101",,
"08/09/2023","POOL23-0014","Pool-Spa","Expired","10940 WHISPERING LN, KANSAS CITY KS 66109",,
"08/09/2023","ELE23-0767","Electrical Permit","Issued","1728 N 30TH ST, KANSAS CITY KS 66102",,
"08/09/2023","ELE23-0766","Electrical Permit","Expired","3003 N 47TH ST, KANSAS CITY KS 66104",,
"08/09/2023","OCC23-0083","Business Occupancy","Expired","6000 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/09/2023","OCC23-0082","Business Occupancy","Expired","141 S 18TH ST, KANSAS CITY KS 66102",,
"08/09/2023","RES23-0431","Residential","Expired","3622 GEORGIA AVE, KANSAS CITY KS 66104",,
"08/09/2023","RES23-0430","Residential","Issued","3204 N 44TH ST, KANSAS CITY KS 66104",,
"08/09/2023","RES23-0429","Residential","Issued","2622 N 38TH ST, KANSAS CITY KS 66104",,
"08/09/2023","COM23-0092","Commercial","Expired","2212 SILVER CT, KANSAS CITY KS 66106",,
"08/09/2023","BSR23-0141","Stop Work Order","Closed","2524 S 51ST TER, KANSAS CITY KS 66106",,
"08/09/2023","SRE23-0179","Safe to Restore Electric","Expired","2411 DELAVAN AVE, KANSAS CITY KS 66104",,
"08/09/2023","SRE23-0178","Safe to Restore Electric","Not Approved","808 VERMONT AVE, KANSAS CITY KS 66101",,
"08/08/2023","DRC23-0061","DRC","Issued","3030 POWELL AVE, KANSAS CITY KS 66106",,
"08/08/2023","MEC23-0358","Mechanical Permit","Expired","1752 S 49TH ST, KANSAS CITY KS 66106",,
"08/08/2023","MEC23-0357","Mechanical Permit","Expired","5401 OSAGE AVE, KANSAS CITY KS 66106",,
"08/08/2023","DRC23-0060","DRC","Issued","966 SUNSHINE RD, KANSAS CITY KS 66115",,
"08/08/2023","PLM23-0633","Plumbing Permit","Inspections Completed","1118 SPLITLOG AVE, KANSAS CITY KS 66102",,
"08/08/2023","ELE23-0765","Electrical Permit","Inspections Completed","1118 SPLITLOG AVE, KANSAS CITY KS 66102",,
"08/08/2023","MEC23-0356","Mechanical Permit","Inspections Completed","1118 SPLITLOG AVE, KANSAS CITY KS 66102",,
"08/08/2023","MEC23-0355","Mechanical Permit","Expired","4014 METROPOLITAN AVE, KANSAS CITY KS 66106",,
"08/08/2023","MEC23-0354","Mechanical Permit","Expired","1410 S 31ST ST, KANSAS CITY KS 66106",,
"08/08/2023","PLM23-0632","Plumbing Permit","Issued","1728 N 30TH ST, KANSAS CITY KS 66102",,
"08/08/2023","ELE23-0764","Electrical Permit","Expired","3511 WYANDOTTE AVE, KANSAS CITY KS 66106",,
"08/08/2023","PLM23-0631","Plumbing Permit","Inspections Completed","5843 N 131ST ST, KANSAS CITY KS 66109",,
"08/08/2023","ELE23-0763","Electrical Permit","Expired","6857 GARFIELD AVE, KANSAS CITY KS 66102",,
"08/08/2023","ELE23-0762","Electrical Permit","Expired","550 S 18TH ST, KANSAS CITY KS 66105",,
"08/08/2023","GAS23-0053","Gas Permit","Expired","307 N 81ST TER, KANSAS CITY KS 66112",,
"08/08/2023","ELE23-0761","Electrical Permit","Expired","2646 S 52ND ST, KANSAS CITY KS 66106",,
"08/08/2023","PLM23-0630","Plumbing Permit","Inspections Completed","1800 MERRIAM LN, KANSAS CITY KS 66106",,
"08/08/2023","MEC23-0353","Mechanical Permit","Inspections Completed","1800 MERRIAM LN, KANSAS CITY KS 66106",,
"08/08/2023","ELE23-0760","Electrical Permit","Inspections Completed","724 SEMINARY ST, KANSAS CITY KS 66103",,
"08/08/2023","ELE23-0759","Electrical Permit","Expired","3191 ROWLAND AVE, KANSAS CITY KS 66104",,
"08/08/2023","SPK23-0022","Fire Suppression","Issued","1800 MERRIAM LN, KANSAS CITY KS 66106",,
"08/08/2023","COM23-0091","Commercial","Inspections Completed","777 HOLLYWOOD CASINO BLVD, KANSAS CITY KS 66111",,
"08/08/2023","ROOF23-0030","Re-Roof","Expired","821 SHAWNEE AVE, KANSAS CITY KS 66105",,
"08/08/2023","SRE23-0177","Safe to Restore Electric","Expired","2212 SILVER CT, KANSAS CITY KS 66106",,
"08/08/2023","SRE23-0176","Safe to Restore Electric","Expired","3204 N 44TH ST, KANSAS CITY KS 66104",,
"08/08/2023","SRE23-0175","Safe to Restore Electric","Expired","1982 WOOD AVE, KANSAS CITY KS 66104",,
"08/08/2023","SRE23-0174","Safe to Restore Electric","Expired","3622 GEORGIA AVE, KANSAS CITY KS 66104",,
"08/08/2023","SRE23-0173","Safe to Restore Electric","Expired","2622 N 38TH ST, KANSAS CITY KS 66104",,
"08/08/2023","SRE23-0172","Safe to Restore Electric","Expired","1122 FREEMAN AVE, KANSAS CITY KS 66102",,
"08/07/2023","ELE23-0758","Electrical Permit","Expired","1728 N 25TH ST, KANSAS CITY KS 66102",,
"08/07/2023","ELE23-0757","Electrical Permit","Inspections Completed","3419 N 40TH ST, KANSAS CITY KS 66104",,
"08/07/2023","GRD23-0054","Grading-Excavation","Elec Approved","1321 S 39TH ST, KANSAS CITY KS 66106",,
"08/07/2023","NSF23-0071","New Single Family","Issued","1321 S 39TH ST, KANSAS CITY KS 66106",,
"08/07/2023","ELE23-0756","Electrical Permit","Expired","5121 OAK GROVE RD, KANSAS CITY KS 66106",,
"08/07/2023","RES23-0428","Residential","Expired","1723 N 25TH ST, KANSAS CITY KS 66102",,
"08/04/2023","RES23-0427","Residential","Expired","7404 TROUP AVE, KANSAS CITY KS 66112",,
"08/04/2023","PLM23-0629","Plumbing Permit","Expired","1229 SCOTT AVE, KANSAS CITY KS 66105",,
"08/04/2023","PLM23-0628","Plumbing Permit","Expired","342 N 10TH ST, KANSAS CITY KS 66102",,
"08/04/2023","OCC23-0081","Business Occupancy","Expired","1715 STEELE RD, KANSAS CITY KS 66106",,
"08/04/2023","PLM23-0627","Plumbing Permit","Expired","1116 S 38TH ST, KANSAS CITY KS 66106",,
"08/04/2023","ELE23-0755","Electrical Permit","Issued","3346 N 53RD TER, KANSAS CITY KS 66104",,
"08/04/2023","GAS23-0052","Gas Permit","Expired","3412 N 39TH ST, KANSAS CITY KS 66104",,
"08/04/2023","MEC23-0352","Mechanical Permit","Inspections Completed","10770 PARALLEL PKWY, KANSAS CITY KS 66109",,
"08/04/2023","ELE23-0754","Electrical Permit","Inspections Completed","10770 PARALLEL PKWY, KANSAS CITY KS 66109",,
"08/04/2023","ELE23-0753","Electrical Permit","Expired","10770 PARALLEL PKWY, KANSAS CITY KS 66109",,
"08/04/2023","RES23-0426","Residential","Expired","58 S 23RD ST, KANSAS CITY KS 66102",,
"08/04/2023","RES23-0425","Residential","Issued","1700 STEWART AVE, KANSAS CITY KS 66104",,
"08/04/2023","ELE23-0752","Electrical Permit","Expired","3218 TAUROMEE AVE, KANSAS CITY KS 66102",,
"08/04/2023","PLM23-0626","Plumbing Permit","Issued","440 S 72ND ST, KANSAS CITY KS 66111",,
"08/04/2023","RES23-0424","Residential","Issued","3537 N 35TH ST, KANSAS CITY KS 66104",,
"08/04/2023","RES23-0424","Residential","Issued","3537 N 35TH ST, KANSAS CITY KS 66104",,
"08/03/2023","ELE23-0751","Electrical Permit","Inspections Completed","2509 W 46TH AVE, KANSAS CITY KS 66103",,
"08/03/2023","ELE23-0750","Electrical Permit","Expired","2711 S 34TH ST, KANSAS CITY KS 66106",,
"08/03/2023","PLM23-0625","Plumbing Permit","Expired","3813 SILVER AVE, KANSAS CITY KS 66106",,
"08/03/2023","ELE23-0749","Electrical Permit","Expired","2226 FOREST LN, KANSAS CITY KS 66106",,
"08/03/2023","ELE23-0748","Electrical Permit","Issued","2455 S 18TH ST, KANSAS CITY KS 66106",,
"08/03/2023","ELE23-0747","Electrical Permit","Expired","4211 LEAVENWORTH RD, KANSAS CITY KS 66104",,
"08/03/2023","RES23-0423","Residential","Expired","7234 GILMORE AVE, KANSAS CITY KS 66111",,
"08/03/2023","ELE23-0746","Electrical Permit","Expired","937 ARMSTRONG AVE, 1F, KANSAS CITY KS 66101",,
"08/03/2023","ELE23-0745","Electrical Permit","Expired","937 ARMSTRONG AVE, 1FR, KANSAS CITY KS 66101",,
"08/03/2023","ELE23-0744","Electrical Permit","Expired","937 ARMSTRONG AVE, 2F, KANSAS CITY KS 66101",,
"08/03/2023","ELE23-0743","Electrical Permit","Expired","937 ARMSTRONG AVE, 2FR, KANSAS CITY KS 66101",,
"08/03/2023","MEC23-0351","Mechanical Permit","Expired","847 EVERETT AVE, KANSAS CITY KS 66101",,
"08/03/2023","MEC23-0350","Mechanical Permit","Expired","829 EVERETT AVE, KANSAS CITY KS 66101",,
"08/03/2023","ELE23-0742","Electrical Permit","Void","1875 VILLAGE WEST PKWY, KANSAS CITY KS 66111",,
"08/03/2023","ELE23-0741","Electrical Permit","Expired","301 N 7TH ST TRFY, KANSAS CITY KS 66101",,
"08/03/2023","RES23-0422","Residential","Issued","1437 S 35TH ST, KANSAS CITY KS 66106",,
"08/03/2023","BSR23-0140","Stop Work Order","Closed","3211 N 58TH ST, KANSAS CITY KS 66104",,
"08/03/2023","PLM23-0624","Plumbing Permit","Issued","15 S 72ND ST, KANSAS CITY KS 66111",,
"08/03/2023","RES23-0421","Residential","Issued","3316 N 56TH TER, KANSAS CITY KS 66104",,
"08/03/2023","RES23-0420","Residential","Issued","1214 NEBRASKA AVE, KANSAS CITY KS 66102",,
"08/03/2023","ELE23-0740","Electrical Permit","Expired","2936 N 55TH ST, KANSAS CITY KS 66104",,
"08/03/2023","SRE23-0171","Safe to Restore Electric","Expired","3316 N 56TH TER, KANSAS CITY KS 66104",,
"08/03/2023","SRE23-0170","Safe to Restore Electric","Expired","1421 S 42ND ST, KANSAS CITY KS 66106",,
"08/02/2023","ELE23-0739","Electrical Permit","Expired","3149 W 42ND AVE, KANSAS CITY KS 66103",,
"08/02/2023","ELE23-0738","Electrical Permit","Expired","15 S 17TH ST, KANSAS CITY KS 66102",,
"08/02/2023","PLM23-0623","Plumbing Permit","Expired","2726 S 9TH TER, KANSAS CITY KS 66103",,
"08/02/2023","RES23-0419","Residential","Expired","12126 LEAVENWORTH RD, KANSAS CITY KS 66109",,
